,Unnamed: 0,struct,comp,E_P0,V_P0,Vf_P0,B0,BP0,c1s,Ncontent,Hcontent
125,125,cf1526,Lu8 H16 N2,-0.7484596929050615,10.271480463236507,-3.816884921378877,79.92137207334225,4.777451863309482,-7.854121966456959,2.0,16.0
126,126,cf544,Lu8 H9 N2,-0.7813622389045409,11.8860628537452,-4.95564767257059,136.11685062148507,10.44020248429651,-11.830553908342525,2.0,9.0
127,127,cf776,Lu8 H6 N8,-1.1605935566383945,10.614363474952976,-7.056545615956114,415.5847441158245,26.89092822674136,-46.57506570586124,8.0,6.0
128,128,cf312,Lu8 N6 H11,-0.900930896308273,9.504895960464612,-6.187004039535388,100.60954570604176,16.4185444444956,-11.37172380984603,6.0,11.0
129,129,cf120,Lu8 N4 H4,-1.0444847780818236,13.924271506923867,-5.854165993076132,87.83671934464026,25.666720358943422,-7.400148434385911,4.0,4.0
130,130,cf923,Lu8 N8 H6,-1.226935389191071,11.898386057836872,-5.772523033072218,97.36538180468304,3.65777732042709,-8.23594651158989,8.0,6.0
131,131,cf749,Lu8 H7 N8,-1.105754231732293,12.574506658593268,-4.615710732711079,32.36249163197881,3.914178456112978,-2.5918973514254056,8.0,7.0
132,132,cf1383,Lu8 N3 H12,-0.8499632176870996,9.73980970348202,-5.67785333999624,208.52991778796985,20.138394545661967,-23.73893330777204,3.0,12.0
133,133,cf315,Lu8 H8 N5,-1.2185684977032776,11.093577007880672,-5.93898251592885,126.6806371865061,5.296748211654696,-11.544552602858062,5.0,8.0
134,134,cf771,Lu8 H6 N5,-1.0528344098810951,13.752277547871524,-4.376867188970583,58.595448529938906,3.265310243567499,-4.284476012280774,5.0,6.0
135,135,cf785,Lu8 N4 H12,-0.9983156311494288,11.488775687790588,-3.901849312209412,83.64006776021185,7.531870392640447,-7.419090284791483,4.0,12.0
136,136,cf118,Lu8 H18,-0.6807385543825848,9.559415459050085,-3.9017383871037614,96.90349698262024,3.780426999572466,-10.20546038276393,0.0,18.0
137,137,cf924,Lu8 N8 H12,-0.9162500023817952,10.275706719301692,-5.026078994984023,71.15125177994791,10.314039928562114,-7.148462680868365,8.0,12.0
138,138,cf588,Lu8 H12 N6,-0.8258243819134525,10.69439861475724,-4.64838984678122,87.0613466209096,7.20040449271032,-8.285229803133172,6.0,12.0
139,139,cf747,Lu8 N6 H9,-0.962767309256141,11.075822071995375,-5.405373580178541,25.83710124312893,8.479786339905072,-2.3869021878298478,6.0,9.0
140,140,cf575,Lu8 H7 N6,-1.1608975040733294,10.982879596398396,-6.437953736934936,122.20054181236512,6.103843670298442,-11.278198849088712,6.0,7.0
141,141,cf581,Lu8 H12 N5,-0.8279992408095859,10.890992092403437,-4.474757907596561,77.73054626191738,2.000219882918989,-7.15948739155812,5.0,12.0
142,142,cf778,Lu8 H8 N4,-1.0044603899441429,11.778234015235029,-5.367515984764969,82.47678933675498,5.485384989439252,-7.083475683738428,4.0,8.0
143,143,cf1180,Lu8 N2 H4,-0.7780048176022579,16.585514255897092,-3.9085928869600486,76.6833901192211,5.781888556301753,-4.681487395394076,2.0,4.0
144,144,cf324,Lu8 N8 H8,-0.9367231906156424,10.789962080278462,-5.959621253054872,102.69326622881904,6.418370471669236,-9.657936511040049,8.0,8.0
145,145,cf116,Lu8 H12 N1,-0.6968845409518551,12.372593385718634,-3.1068708999956507,79.96133574945523,3.851608676995101,-6.507573763279351,1.0,12.0
146,146,cf129,Lu8 H9 N5,-0.9679215153042936,10.685626903371496,-5.873407187537595,86.45573070948755,14.28343974537304,-8.557097875623551,5.0,9.0
147,147,cf915,Lu8 N8 H5,-1.1465856099537286,13.630549482083056,-4.566831470297895,78.59330823935356,2.027683870018999,-5.784281184720523,8.0,5.0
148,148,cf976,Lu8 H14 N6,-0.6996914168563048,9.938732053732004,-4.780642946267995,95.45438028541572,4.933278556369651,-9.699034289491074,6.0,14.0
149,149,cf378,Lu8 N5 H14,-0.7355166140920052,10.22116680074642,-4.496379495549876,80.74826461256333,9.651432085035722,-8.12835704232315,5.0,14.0
150,150,cf511,Lu8 N4 H9,-0.9931112549481136,11.600034533773725,-5.04425118051199,66.1184674393072,10.034157719246382,-5.875891361173244,4.0,9.0
151,151,cf347,Lu8 H17 N4,-0.7032753037633013,9.258144434687164,-4.619441772209388,77.56169199623504,5.410345215945622,-8.472573927836706,4.0,17.0
152,152,cf175,Lu8 N5 H6,-0.99968530013805,12.874100482849752,-5.255044253992351,94.09966446101248,5.091822418019684,-7.384801510373975,5.0,6.0
153,153,cf181,Lu8 H10 N6,-0.9817343722370424,10.8783429494355,-5.191761217231165,74.97208986447795,0.969070531517508,-6.903450807865791,6.0,10.0
154,154,cf985,Lu8 N4 H8,-1.009692263836041,12.661908997605403,-4.483841002394598,57.82078601050153,6.704022029316135,-4.638726619071227,4.0,8.0
155,155,cf529,Lu8 N5 H10,-1.074262378625344,10.03775544344129,-6.088929339167404,107.4824426611445,10.980228736790949,-11.09440207320188,5.0,10.0
156,156,cf971,Lu8 H17 N4,-0.7425407504232335,10.02243809057436,-3.855148116322192,76.26901530510385,5.632604633217206,-7.7014834122412275,4.0,17.0
157,157,cf172,Lu8 N6 H4,-1.3397026813771744,12.570039932461905,-6.651765623093651,119.1967198191708,6.90012932191546,-9.639636189664238,6.0,4.0
158,158,cf340,Lu8 H15 N4,-0.8367577225430135,10.424636380145804,-3.990919175409751,105.62136129830635,16.769527252507498,-10.914882204805693,4.0,15.0
159,159,cf947,Lu8 N6 H4,-1.369964844664436,12.273313875162208,-6.948491680393349,130.72941213047685,4.700827919387562,-10.749409634418386,6.0,4.0
